UUID,Version,Name (en),Kategorie (en),Bezugseinheit,Modul,GWP,ODP,POCP,AP,EP,ADPE
fa5119d5-b0b8-4774-9c23-928f6894bd50,20.19.010,Electricity grid mix 2018,Building service engineering' / 'Use' / 'Use heat generator (EnEV),MJ,B6,0.53,0.00,0.00,0.00,0.00,0.00
a4fb9ec0-d5ae-414b-a0a1-2cf7f586022d,20.19.010,Precast concrete slab. ceiling. 40cm,Mineral building products' / 'Bricks. blocks and elements' / 'Precast concrete elements and goods,qm,A1-A3,169.40,0.00,0.01,0.24,0.04,0.00
3470c523-ffcd-48df-93ff-dedfde86572a,20.19.010,Precast concrete slab. wall. 40cm,Mineral building products' / 'Bricks. blocks and elements' / 'Precast concrete elements and goods,qm,A1-A3,129.99,0.00,0.00,0.18,0.03,0.00
ffff2074-fae0-4b5c-b801-af80f5ce633a,20.19.120,Cable CAT 7,Building service engineering' / 'Electrical' / 'Cable,m,A1-A3,0.30,0.00,0.00,0.00,0.00,0.00
ffff2074-fae0-4b5c-b801-af80f5ce633a,20.19.120,Cable CAT 7,Building service engineering' / 'Electrical' / 'Cable,m,C2,0.00,0.00,0.00,0.00,0.00,0.00
ffff2074-fae0-4b5c-b801-af80f5ce633a,20.19.120,Cable CAT 7,Building service engineering' / 'Electrical' / 'Cable,m,C3,0.05,0.00,0.00,0.00,0.00,0.00
ffff2074-fae0-4b5c-b801-af80f5ce633a,20.19.120,Cable CAT 7,Building service engineering' / 'Electrical' / 'Cable,m,D,-0.16,0.00,0.00,0.00,0.00,0.00
ffeaa284-6f4a-452d-81c9-de28ab3b1dd7,20.19.120,Electricity grid mix scenario 2040,Others' / 'Energy carrier - delivery free user' / 'Electricity,MJ,B6,0.41,0.00,0.00,0.00,0.00,0.00
fe0f74c9-6966-404a-807a-684095e09a4a,20.19.120,Car (Diesel) EURO 4,Others' / 'Passenger transport [person km]' / 'Passenger car,m,A4,0.17,0.00,0.00,0.00,0.00,0.00
fdcb26f9-1f0c-4766-ad94-c093e5d259e1,20.19.120,Pumping of concrete,Others' / 'Processes at building site' / 'Concreting,m3,A5,1.00,0.00,0.00,0.00,0.00,0.00
fcf6494c-aad2-4180-b1a2-392cc954ae52,20.19.120,Applicationpaint emulsion. dispersion paint,Coverings' / 'Facade paint' / 'Dispersion,kg,A1-A3,2.11,0.00,0.00,0.01,0.00,0.00
fcf6494c-aad2-4180-b1a2-392cc954ae52,20.19.120,Applicationpaint emulsion. dispersion paint,Coverings' / 'Facade paint' / 'Dispersion,kg,A5,0.03,0.00,0.01,0.00,0.00,0.00
fcf6494c-aad2-4180-b1a2-392cc954ae52,20.19.120,Applicationpaint emulsion. dispersion paint,Coverings' / 'Facade paint' / 'Dispersion,kg,C2,0.00,0.00,0.00,0.00,0.00,0.00
fcf6494c-aad2-4180-b1a2-392cc954ae52,20.19.120,Applicationpaint emulsion. dispersion paint,Coverings' / 'Facade paint' / 'Dispersion,kg,C4,0.02,0.00,0.00,0.00,0.00,0.00
fcf6494c-aad2-4180-b1a2-392cc954ae52,20.19.120,Applicationpaint emulsion. dispersion paint,Coverings' / 'Facade paint' / 'Dispersion,kg,D,-0.01,0.00,0.00,0.00,0.00,0.00
fbfe5992-4cd4-4875-867d-5e89cb453e2c,20.19.120,Pipework for electric heat pump (water-water) 70 kW,Building service engineering' / 'Heating' / 'Heat generator,pcs.,A1-A3,417.97,0.00,0.12,1.03,0.09,0.02
fbfe5992-4cd4-4875-867d-5e89cb453e2c,20.19.120,Pipework for electric heat pump (water-water) 70 kW,Building service engineering' / 'Heating' / 'Heat generator,pcs.,C2,0.18,0.00,0.00,0.00,0.00,0.00
fbfe5992-4cd4-4875-867d-5e89cb453e2c,20.19.120,Pipework for electric heat pump (water-water) 70 kW,Building service engineering' / 'Heating' / 'Heat generator,pcs.,C3,0.01,0.00,0.00,0.00,0.00,0.00
fbfe5992-4cd4-4875-867d-5e89cb453e2c,20.19.120,Pipework for electric heat pump (water-water) 70 kW,Building service engineering' / 'Heating' / 'Heat generator,pcs.,D,-28.07,0.00,-0.01,-0.06,-0.01,0.00
fbd76e49-0fb1-47e0-abba-903ce1272684,20.19.120,Gypsum stone (CaSO4-Dihydrate),Mineral building products' / 'Binder' / 'Gypsum,kg,A1-A3,0.00,0.00,0.00,0.00,0.00,0.00
fbd76e49-0fb1-47e0-abba-903ce1272684,20.19.120,Gypsum stone (CaSO4-Dihydrate),Mineral building products' / 'Binder' / 'Gypsum,kg,C2,0.00,0.00,0.00,0.00,0.00,0.00
fbd76e49-0fb1-47e0-abba-903ce1272684,20.19.120,Gypsum stone (CaSO4-Dihydrate),Mineral building products' / 'Binder' / 'Gypsum,kg,C4,0.02,0.00,0.00,0.00,0.00,0.00
fbb81ecc-f707-4afb-bcce-758b6be6d337,20.19.120,Ventilation centralized per 30000 m�/h,Building service engineering' / 'Air conditioning and ventilation' / 'Ventilation system,pcs.,A1-A3,846.71,0.00,0.22,2.92,0.19,0.06
fbb81ecc-f707-4afb-bcce-758b6be6d337,20.19.120,Ventilation centralized per 30000 m�/h,Building service engineering' / 'Air conditioning and ventilation' / 'Ventilation system,pcs.,C2,1.67,0.00,0.00,0.01,0.00,0.00
fbb81ecc-f707-4afb-bcce-758b6be6d337,20.19.120,Ventilation centralized per 30000 m�/h,Building service engineering' / 'Air conditioning and ventilation' / 'Ventilation system,pcs.,C3,11.87,0.00,0.00,0.01,0.00,0.00
fbb81ecc-f707-4afb-bcce-758b6be6d337,20.19.120,Ventilation centralized per 30000 m�/h,Building service engineering' / 'Air conditioning and ventilation' / 'Ventilation system,pcs.,C4,0.10,0.00,0.00,0.00,0.00,0.00
fbb81ecc-f707-4afb-bcce-758b6be6d337,20.19.120,Ventilation centralized per 30000 m�/h,Building service engineering' / 'Air conditioning and ventilation' / 'Ventilation system,pcs.,D,-506.24,0.00,-0.14,-1.95,-0.11,-0.03
fbb56e56-29d6-408e-8941-fc37ed48fb11,20.19.120,Electric heat pump (brine-water. geothermal probe) 70 kW,Building service engineering' / 'Heating' / 'Heat generator,pcs.,A1-A3,6262.06,0.00,3.48,11.24,1.57,0.10
fbb56e56-29d6-408e-8941-fc37ed48fb11,20.19.120,Electric heat pump (brine-water. geothermal probe) 70 kW,Building service engineering' / 'Heating' / 'Heat generator,pcs.,C2,32.50,0.00,-0.07,0.18,0.05,0.00
fbb56e56-29d6-408e-8941-fc37ed48fb11,20.19.120,Electric heat pump (brine-water. geothermal probe) 70 kW,Building service engineering' / 'Heating' / 'Heat generator,pcs.,C3,11.48,0.00,0.00,0.00,0.00,0.00
fbb56e56-29d6-408e-8941-fc37ed48fb11,20.19.120,Electric heat pump (brine-water. geothermal probe) 70 kW,Building service engineering' / 'Heating' / 'Heat generator,pcs.,C4,0.03,0.00,0.00,0.00,0.00,0.00
fbb56e56-29d6-408e-8941-fc37ed48fb11,20.19.120,Electric heat pump (brine-water. geothermal probe) 70 kW,Building service engineering' / 'Heating' / 'Heat generator,pcs.,D,-267.67,0.00,-0.12,-1.87,-0.07,-0.07
fb32ae87-93e5-41de-9556-fd3de5d65b01,20.19.120,Usage - gas condensing boiler 120-400 kW,Building service engineering' / 'Use' / 'Use heat generator,MJ,B6,0.23,0.00,0.00,0.00,0.00,0.00
fb11f8ce-d3c7-4823-ba13-0c1f4a304799,20.19.120,Use - 1 kWh of final energy from wood pellets (according to EnEV),Building service engineering' / 'Use' / 'Use heat generator (EnEV),MJ,B6,0.02,0.00,0.00,0.00,0.00,0.00
fab21d20-3244-4c72-8ff6-cb0d2f77dc4e,20.19.120,Usage - ventilation (1kWh electricity consumption),Building service engineering' / 'Use' / 'Use ventilation and air conitioning,MJ,B6,0.53,0.00,0.00,0.00,0.00,0.00
fa976ebb-09ce-4e5b-9976-621d9ac1f12e,20.19.120,Glass fibre fleece,Plastics' / 'Foils and fleeces' / 'Fleeces,qm,A1-A3,0.29,0.00,0.00,0.00,0.00,0.00
fa976ebb-09ce-4e5b-9976-621d9ac1f12e,20.19.120,Glass fibre fleece,Plastics' / 'Foils and fleeces' / 'Fleeces,qm,C2,0.00,0.00,0.00,0.00,0.00,0.00
fa976ebb-09ce-4e5b-9976-621d9ac1f12e,20.19.120,Glass fibre fleece,Plastics' / 'Foils and fleeces' / 'Fleeces,qm,C3,0.00,0.00,0.00,0.00,0.00,0.00
fa976ebb-09ce-4e5b-9976-621d9ac1f12e,20.19.120,Glass fibre fleece,Plastics' / 'Foils and fleeces' / 'Fleeces,qm,C4,0.00,0.00,0.00,0.00,0.00,0.00
fa8b71fb-e758-472b-8c96-17ab01c5912e,20.19.120,Usage - electric heat pump water-water (10/50),Building service engineering' / 'Use' / 'Use heat generator,MJ,B6,0.14,0.00,0.00,0.00,0.00,0.00
f939c2b2-7f3d-40f8-9903-d0fc30a62d91,20.19.120,Steel mullion-transom system with triple glazing,Components for windows and curtain walls' / 'Frames / Profiles' / 'Steel,qm,A1-A3,97.07,0.00,0.02,0.28,0.05,0.00
f939c2b2-7f3d-40f8-9903-d0fc30a62d91,20.19.120,Steel mullion-transom system with triple glazing,Components for windows and curtain walls' / 'Frames / Profiles' / 'Steel,qm,C1,0.01,0.00,0.00,0.00,0.00,0.00
f939c2b2-7f3d-40f8-9903-d0fc30a62d91,20.19.120,Steel mullion-transom system with triple glazing,Components for windows and curtain walls' / 'Frames / Profiles' / 'Steel,qm,C2,0.12,0.00,0.00,0.00,0.00,0.00
f939c2b2-7f3d-40f8-9903-d0fc30a62d91,20.19.120,Steel mullion-transom system with triple glazing,Components for windows and curtain walls' / 'Frames / Profiles' / 'Steel,qm,C3,6.20,0.00,0.00,0.00,0.00,0.00
f939c2b2-7f3d-40f8-9903-d0fc30a62d91,20.19.120,Steel mullion-transom system with triple glazing,Components for windows and curtain walls' / 'Frames / Profiles' / 'Steel,qm,C4,0.42,0.00,0.00,0.00,0.00,0.00
f939c2b2-7f3d-40f8-9903-d0fc30a62d91,20.19.120,Steel mullion-transom system with triple glazing,Components for windows and curtain walls' / 'Frames / Profiles' / 'Steel,qm,D,-15.47,0.00,0.00,-0.03,0.00,0.00
f8d6bd85-55e0-42d3-982b-b814387b7f58,20.19.120,Lava granulate,Mineral building products' / 'Concrete aggregates' / 'Pumice,kg,A1-A3,0.00,0.00,0.00,0.00,0.00,0.00
f79ff316-a470-4658-843e-f12dc5f4b4f4,20.19.120,Usage - oil low temperature condensing boiler 20-120 kW,Building service engineering' / 'Use' / 'Use heat generator,MJ,B6,0.34,0.00,0.00,0.00,0.00,0.00
f74a19da-df9a-4462-a632-3b3dc83377b1,20.19.120,Facing brick,Mineral building products' / 'Bricks. blocks and elements' / 'Fired brick,m3,A1-A3,528.54,0.00,0.08,0.45,0.08,0.00
f74a19da-df9a-4462-a632-3b3dc83377b1,20.19.120,Facing brick,Mineral building products' / 'Bricks. blocks and elements' / 'Fired brick,m3,C1,1.29,0.00,0.00,0.00,0.00,0.00
f74a19da-df9a-4462-a632-3b3dc83377b1,20.19.120,Facing brick,Mineral building products' / 'Bricks. blocks and elements' / 'Fired brick,m3,C2,5.01,0.00,0.00,0.01,0.00,0.00
f74a19da-df9a-4462-a632-3b3dc83377b1,20.19.120,Facing brick,Mineral building products' / 'Bricks. blocks and elements' / 'Fired brick,m3,C3,13.21,0.00,0.01,0.09,0.01,0.00
f74a19da-df9a-4462-a632-3b3dc83377b1,20.19.120,Facing brick,Mineral building products' / 'Bricks. blocks and elements' / 'Fired brick,m3,D,-3.70,0.00,0.00,-0.01,0.00,0.00
f605d39c-05c8-46d1-90ad-75592a6eff3f,20.19.120,Usage - split air conditioner < 12 kW (SEER 3.5),Building service engineering' / 'Use' / 'Use ventilation and air conitioning,MJ,B6,0.16,0.00,0.00,0.00,0.00,0.00
f54f1e4c-07e2-4045-9f1b-fb28ef8adf13,20.19.120,Truck,Others' / 'Transport of goods [t km]' / 'Truck,kgkm,A4,0.09,0.00,0.00,0.00,0.00,0.00
f4d930b5-ebe0-4b12-9de0-e2ee391be029,20.19.120,Excavator 100kW,Others' / 'Processes at building site' / 'Digger/digging,m3,A5,1.29,0.00,0.00,0.00,0.00,0.00
f49025fb-3ab6-4915-8a69-cda7815334d4,20.19.120,Oil tank polyamide (1000l),Building service engineering' / 'Heating' / 'Storage,pcs.,A1-A3,456.93,0.00,0.13,0.63,0.08,0.00
f49025fb-3ab6-4915-8a69-cda7815334d4,20.19.120,Oil tank polyamide (1000l),Building service engineering' / 'Heating' / 'Storage,pcs.,C2,0.29,0.00,0.00,0.00,0.00,0.00
f49025fb-3ab6-4915-8a69-cda7815334d4,20.19.120,Oil tank polyamide (1000l),Building service engineering' / 'Heating' / 'Storage,pcs.,C3,119.65,0.00,0.01,0.16,0.04,0.00
f49025fb-3ab6-4915-8a69-cda7815334d4,20.19.120,Oil tank polyamide (1000l),Building service engineering' / 'Heating' / 'Storage,pcs.,D,-45.24,0.00,0.00,-0.04,-0.01,0.00
f34a799a-52de-4f69-a623-335f5be207d9,20.19.120,End of Life steel sheet galvanized,End of Life' / 'Generic' / 'Metals,kg,C4,0.00,0.00,0.00,0.00,0.00,0.00
f34a799a-52de-4f69-a623-335f5be207d9,20.19.120,End of Life steel sheet galvanized,End of Life' / 'Generic' / 'Metals,kg,D,-1.81,0.00,0.00,0.00,0.00,0.00
f2e34135-bdd8-4e8a-8805-ad089d6d1b92,20.19.120,Acrylic bath and shower tub,Building service engineering' / 'Sanitary' / 'Shower and bath tubs,kg,A1-A3,4.21,0.00,0.00,0.01,0.00,0.00
f2e34135-bdd8-4e8a-8805-ad089d6d1b92,20.19.120,Acrylic bath and shower tub,Building service engineering' / 'Sanitary' / 'Shower and bath tubs,kg,C2,0.01,0.00,0.00,0.00,0.00,0.00
f2e34135-bdd8-4e8a-8805-ad089d6d1b92,20.19.120,Acrylic bath and shower tub,Building service engineering' / 'Sanitary' / 'Shower and bath tubs,kg,C3,3.16,0.00,0.00,0.00,0.00,0.00
f2e34135-bdd8-4e8a-8805-ad089d6d1b92,20.19.120,Acrylic bath and shower tub,Building service engineering' / 'Sanitary' / 'Shower and bath tubs,kg,D,-1.08,0.00,0.00,0.00,0.00,0.00
f281ecaf-5754-4d27-8d70-cfd18780b192,20.19.120,Polytetrafluoroethylene foil (PTFE),Plastics' / 'Foils and fleeces' / 'Technical textiles,kg,A1-A3,14.44,0.00,0.00,0.07,0.00,0.00
f281ecaf-5754-4d27-8d70-cfd18780b192,20.19.120,Polytetrafluoroethylene foil (PTFE),Plastics' / 'Foils and fleeces' / 'Technical textiles,kg,C1,0.00,0.00,0.00,0.00,0.00,0.00
f281ecaf-5754-4d27-8d70-cfd18780b192,20.19.120,Polytetrafluoroethylene foil (PTFE),Plastics' / 'Foils and fleeces' / 'Technical textiles,kg,C2,0.00,0.00,0.00,0.00,0.00,0.00
f281ecaf-5754-4d27-8d70-cfd18780b192,20.19.120,Polytetrafluoroethylene foil (PTFE),Plastics' / 'Foils and fleeces' / 'Technical textiles,kg,C3,0.36,0.00,0.00,0.00,0.00,0.00
f281ecaf-5754-4d27-8d70-cfd18780b192,20.19.120,Polytetrafluoroethylene foil (PTFE),Plastics' / 'Foils and fleeces' / 'Technical textiles,kg,D,-0.17,0.00,0.00,0.00,0.00,0.00
f2069d15-ecd8-4bb5-bcf8-8736f3e4c157,20.19.120,Usage - oil low temperature boiler (<20 kW. acc. EnEV),Building service engineering' / 'Use' / 'Use heat generator (EnEV),MJ,B6,0.34,0.00,0.00,0.00,0.00,0.00
f0e35814-cd81-4829-abc3-84eb2eb70b56,20.19.120,Excavator15 kW,Others' / 'Processes at building site' / 'Digger/digging,m3,A5,1.29,0.00,0.00,0.01,0.00,0.00
f095dc94-6be4-44cf-ba70-c15dcec2a6c5,20.19.120,Usage - multisplit air conditioner < 12 kW (SEER 3.2),Building service engineering' / 'Use' / 'Use ventilation and air conitioning,MJ,B6,0.17,0.00,0.00,0.00,0.00,0.00
efabdf2d-993e-418c-ba86-85a3a91562a2,20.19.120,Ventilation decentralized with heat recovery (wall. ceiling) 60 m�/h,Building service engineering' / 'Air conditioning and ventilation' / 'Ventilation system,pcs.,A1-A3,25.33,0.00,0.02,0.11,0.01,0.00
efabdf2d-993e-418c-ba86-85a3a91562a2,20.19.120,Ventilation decentralized with heat recovery (wall. ceiling) 60 m�/h,Building service engineering' / 'Air conditioning and ventilation' / 'Ventilation system,pcs.,C2,0.03,0.00,0.00,0.00,0.00,0.00
efabdf2d-993e-418c-ba86-85a3a91562a2,20.19.120,Ventilation decentralized with heat recovery (wall. ceiling) 60 m�/h,Building service engineering' / 'Air conditioning and ventilation' / 'Ventilation system,pcs.,C3,4.49,0.00,0.00,0.00,0.00,0.00
efabdf2d-993e-418c-ba86-85a3a91562a2,20.19.120,Ventilation decentralized with heat recovery (wall. ceiling) 60 m�/h,Building service engineering' / 'Air conditioning and ventilation' / 'Ventilation system,pcs.,C4,0.05,0.00,0.00,0.00,0.00,0.00
efabdf2d-993e-418c-ba86-85a3a91562a2,20.19.120,Ventilation decentralized with heat recovery (wall. ceiling) 60 m�/h,Building service engineering' / 'Air conditioning and ventilation' / 'Ventilation system,pcs.,D,-11.70,0.00,0.00,-0.04,0.00,0.00
efa279e8-0ac1-4883-b87c-0cb11e17d265,20.19.120,Electric heat pump (air-water) 7 kW,Building service engineering' / 'Heating' / 'Heat generator,pcs.,A1-A3,321.29,0.00,0.12,1.97,0.27,0.08
efa279e8-0ac1-4883-b87c-0cb11e17d265,20.19.120,Electric heat pump (air-water) 7 kW,Building service engineering' / 'Heating' / 'Heat generator,pcs.,C2,0.91,0.00,0.00,0.00,0.00,0.00
efa279e8-0ac1-4883-b87c-0cb11e17d265,20.19.120,Electric heat pump (air-water) 7 kW,Building service engineering' / 'Heating' / 'Heat generator,pcs.,C3,21.06,0.00,0.00,0.00,0.00,0.00
efa279e8-0ac1-4883-b87c-0cb11e17d265,20.19.120,Electric heat pump (air-water) 7 kW,Building service engineering' / 'Heating' / 'Heat generator,pcs.,C4,3.00,0.00,0.00,0.00,0.00,0.00
efa279e8-0ac1-4883-b87c-0cb11e17d265,20.19.120,Electric heat pump (air-water) 7 kW,Building service engineering' / 'Heating' / 'Heat generator,pcs.,D,-169.06,0.00,-0.10,-1.90,-0.05,-0.09
ee840270-3055-428a-b38d-e7727426cc35,20.19.120,Gypsum (CaSO4 beta hemihydrate),Mineral building products' / 'Binder' / 'Gypsum,kg,A1-A3,0.10,0.00,0.00,0.00,0.00,0.00
ee840270-3055-428a-b38d-e7727426cc35,20.19.120,Gypsum (CaSO4 beta hemihydrate),Mineral building products' / 'Binder' / 'Gypsum,kg,C2,0.00,0.00,0.00,0.00,0.00,0.00
ee840270-3055-428a-b38d-e7727426cc35,20.19.120,Gypsum (CaSO4 beta hemihydrate),Mineral building products' / 'Binder' / 'Gypsum,kg,C4,0.02,0.00,0.00,0.00,0.00,0.00
ed997c1e-274c-4d38-a5bf-2016693c91a3,20.19.120,Underfloor heating system PEX (100mm distance),Building service engineering' / 'Heating' / 'Heat distribution and dissipation,qm,A1-A3,7.75,0.00,0.02,0.01,0.00,0.00
ed997c1e-274c-4d38-a5bf-2016693c91a3,20.19.120,Underfloor heating system PEX (100mm distance),Building service engineering' / 'Heating' / 'Heat distribution and dissipation,qm,C2,0.01,0.00,0.00,0.00,0.00,0.00
ed997c1e-274c-4d38-a5bf-2016693c91a3,20.19.120,Underfloor heating system PEX (100mm distance),Building service engineering' / 'Heating' / 'Heat distribution and dissipation,qm,C3,6.68,0.00,0.00,0.00,0.00,0.00
ed997c1e-274c-4d38-a5bf-2016693c91a3,20.19.120,Underfloor heating system PEX (100mm distance),Building service engineering' / 'Heating' / 'Heat distribution and dissipation,qm,D,-2.78,0.00,0.00,0.00,0.00,0.00
ecf20fae-fe11-41ad-b248-8b4118fd7cc7,20.19.120,Anodization of aluminium,Metals' / 'Surface treatment and coating of metals' / 'Anodising of aluminium,qm,A1-A3,6.12,0.00,0.00,0.01,0.00,0.00
ecec75f7-3ff5-4949-9662-95ae0ddcdc55,20.19.120,Usage - oil condensing boiler (20-120 kW. acc. EnEV),Building service engineering' / 'Use' / 'Use heat generator (EnEV),MJ,B6,0.30,0.00,0.00,0.00,0.00,0.00
eaec8e5d-f70a-4993-b3a6-814607f5e7b3,20.19.120,Powder coating (outdoor use. white),Coverings' / 'Varnishes and stains' / 'Varnish systems for metals,kg,A1-A3,4.74,0.00,0.00,0.01,0.00,0.00
eaec8e5d-f70a-4993-b3a6-814607f5e7b3,20.19.120,Powder coating (outdoor use. white),Coverings' / 'Varnishes and stains' / 'Varnish systems for metals,kg,C1,0.00,0.00,0.00,0.00,0.00,0.00
eaec8e5d-f70a-4993-b3a6-814607f5e7b3,20.19.120,Powder coating (outdoor use. white),Coverings' / 'Varnishes and stains' / 'Varnish systems for metals,kg,C2,0.00,0.00,0.00,0.00,0.00,0.00
eaec8e5d-f70a-4993-b3a6-814607f5e7b3,20.19.120,Powder coating (outdoor use. white),Coverings' / 'Varnishes and stains' / 'Varnish systems for metals,kg,C3,1.05,0.00,0.00,0.00,0.00,0.00
eaec8e5d-f70a-4993-b3a6-814607f5e7b3,20.19.120,Powder coating (outdoor use. white),Coverings' / 'Varnishes and stains' / 'Varnish systems for metals,kg,D,-0.32,0.00,0.00,0.00,0.00,0.00
ea4ff1e8-4ee8-4ecf-8951-a79b5b60dd2a,20.19.120,Steel window fitting,Components for windows and curtain walls' / 'Window fittings' / 'Steel window fittings,pcs.,A1-A3,9.27,0.00,0.00,0.02,0.00,0.00
ea4ff1e8-4ee8-4ecf-8951-a79b5b60dd2a,20.19.120,Steel window fitting,Components for windows and curtain walls' / 'Window fittings' / 'Steel window fittings,pcs.,C1,0.00,0.00,0.00,0.00,0.00,0.00
ea4ff1e8-4ee8-4ecf-8951-a79b5b60dd2a,20.19.120,Steel window fitting,Components for windows and curtain walls' / 'Window fittings' / 'Steel window fittings,pcs.,C2,0.01,0.00,0.00,0.00,0.00,0.00
ea4ff1e8-4ee8-4ecf-8951-a79b5b60dd2a,20.19.120,Steel window fitting,Components for windows and curtain walls' / 'Window fittings' / 'Steel window fittings,pcs.,D,-5.01,0.00,0.00,-0.01,0.00,0.00
e9ae96ee-ba8d-420d-9725-7c8abd06e082,20.19.120,Reinforcement steel wire,Metals' / 'Steel and iron' / 'Steel reinforcement mesh,kg,A1-A3,0.68,0.00,0.00,0.00,0.00,0.00
e9ae96ee-ba8d-420d-9725-7c8abd06e082,20.19.120,Reinforcement steel wire,Metals' / 'Steel and iron' / 'Steel reinforcement mesh,kg,C1,0.00,0.00,0.00,0.00,0.00,0.00
e9ae96ee-ba8d-420d-9725-7c8abd06e082,20.19.120,Reinforcement steel wire,Metals' / 'Steel and iron' / 'Steel reinforcement mesh,kg,C2,0.00,0.00,0.00,0.00,0.00,0.00
e98995e0-f945-4fea-849f-cec0aff6cb0c,20.19.120,Synthetic resin screed,Mineral building products' / 'Mortar and Concrete' / 'Screed dry mortar,kg,A1-A3,0.33,0.00,0.00,0.00,0.00,0.00
e98995e0-f945-4fea-849f-cec0aff6cb0c,20.19.120,Synthetic resin screed,Mineral building products' / 'Mortar and Concrete' / 'Screed dry mortar,kg,C2,0.00,0.00,0.00,0.00,0.00,0.00
e98995e0-f945-4fea-849f-cec0aff6cb0c,20.19.120,Synthetic resin screed,Mineral building products' / 'Mortar and Concrete' / 'Screed dry mortar,kg,C4,0.02,0.00,0.00,0.00,0.00,0.00
e8afb4e6-1f0d-479b-a54a-c818970dcb42,20.19.120,Ventilation centralized per 10000 m�/h,Building service engineering' / 'Air conditioning and ventilation' / 'Ventilation system,pcs.,A1-A3,343.01,0.00,0.09,1.18,0.08,0.02
e8afb4e6-1f0d-479b-a54a-c818970dcb42,20.19.120,Ventilation centralized per 10000 m�/h,Building service engineering' / 'Air conditioning and ventilation' / 'Ventilation system,pcs.,C2,0.68,0.00,0.00,0.00,0.00,0.00
e8afb4e6-1f0d-479b-a54a-c818970dcb42,20.19.120,Ventilation centralized per 10000 m�/h,Building service engineering' / 'Air conditioning and ventilation' / 'Ventilation system,pcs.,C3,4.81,0.00,0.00,0.00,0.00,0.00
e8afb4e6-1f0d-479b-a54a-c818970dcb42,20.19.120,Ventilation centralized per 10000 m�/h,Building service engineering' / 'Air conditioning and ventilation' / 'Ventilation system,pcs.,C4,0.04,0.00,0.00,0.00,0.00,0.00
e8afb4e6-1f0d-479b-a54a-c818970dcb42,20.19.120,Ventilation centralized per 10000 m�/h,Building service engineering' / 'Air conditioning and ventilation' / 'Ventilation system,pcs.,D,-205.41,0.00,-0.06,-0.79,-0.05,-0.01
e88588a0-0974-4214-86bd-dcbf5caf656a,20.19.120,Oil condensing boiler 120-400 kW (upright unit),Building service engineering' / 'Heating' / 'Heat generator,pcs.,A1-A3,5074.57,0.00,1.62,21.41,1.44,0.32
e88588a0-0974-4214-86bd-dcbf5caf656a,20.19.120,Oil condensing boiler 120-400 kW (upright unit),Building service engineering' / 'Heating' / 'Heat generator,pcs.,C2,14.68,0.00,-0.02,0.06,0.02,0.00
e88588a0-0974-4214-86bd-dcbf5caf656a,20.19.120,Oil condensing boiler 120-400 kW (upright unit),Building service engineering' / 'Heating' / 'Heat generator,pcs.,C3,249.48,0.00,0.00,0.05,0.01,0.00
e88588a0-0974-4214-86bd-dcbf5caf656a,20.19.120,Oil condensing boiler 120-400 kW (upright unit),Building service engineering' / 'Heating' / 'Heat generator,pcs.,C4,1.80,0.00,0.00,0.00,0.00,0.00
e88588a0-0974-4214-86bd-dcbf5caf656a,20.19.120,Oil condensing boiler 120-400 kW (upright unit),Building service engineering' / 'Heating' / 'Heat generator,pcs.,D,-2099.26,0.00,-0.60,-7.17,-0.46,-0.10
e82b43d5-1eba-4f55-b12f-4f2a3f55d380,20.19.120,Photovoltaic system 1200 kWh/m�*a,Others' / 'Energy carrier - delivery free user' / 'Electricity,qm,A1-A3,296.69,0.00,0.10,1.11,0.09,0.01
e82b43d5-1eba-4f55-b12f-4f2a3f55d380,20.19.120,Photovoltaic system 1200 kWh/m�*a,Others' / 'Energy carrier - delivery free user' / 'Electricity,qm,B6,0.00,0.00,0.00,0.00,0.00,0.00
e82b43d5-1eba-4f55-b12f-4f2a3f55d380,20.19.120,Photovoltaic system 1200 kWh/m�*a,Others' / 'Energy carrier - delivery free user' / 'Electricity,qm,C3,0.00,0.00,0.00,0.00,0.00,0.00
e82b43d5-1eba-4f55-b12f-4f2a3f55d380,20.19.120,Photovoltaic system 1200 kWh/m�*a,Others' / 'Energy carrier - delivery free user' / 'Electricity,qm,C4,12.14,0.00,0.00,0.03,0.01,0.00
e82b43d5-1eba-4f55-b12f-4f2a3f55d380,20.19.120,Photovoltaic system 1200 kWh/m�*a,Others' / 'Energy carrier - delivery free user' / 'Electricity,qm,D,-1321.64,0.00,-0.14,-1.74,-0.31,-0.01
e7ed29a8-bbb8-49c6-bdb5-15b5a7f6ffef,20.19.120,Toilet seat/cover (Duroplast),Building service engineering' / 'Sanitary' / 'Sanitary ware,pcs.,A1-A3,11.55,0.00,0.00,0.01,0.00,0.00
e7ed29a8-bbb8-49c6-bdb5-15b5a7f6ffef,20.19.120,Toilet seat/cover (Duroplast),Building service engineering' / 'Sanitary' / 'Sanitary ware,pcs.,C2,0.02,0.00,0.00,0.00,0.00,0.00
e7ed29a8-bbb8-49c6-bdb5-15b5a7f6ffef,20.19.120,Toilet seat/cover (Duroplast),Building service engineering' / 'Sanitary' / 'Sanitary ware,pcs.,C3,7.10,0.00,0.00,0.00,0.00,0.00
e7ed29a8-bbb8-49c6-bdb5-15b5a7f6ffef,20.19.120,Toilet seat/cover (Duroplast),Building service engineering' / 'Sanitary' / 'Sanitary ware,pcs.,D,-3.29,0.00,0.00,0.00,0.00,0.00
