UUID,Version,Name (en),Kategorie (en),Bezugseinheit,Modul,GWP,ODP,POCP,AP,EP,ADPE
e7d4ceb7-da5f-4341-b8f3-ea47bd1fb4bc,00.04.000,Concrete paving stone 8 cm multi-coloured,Mineral building products' / 'Bricks. blocks and elements' / 'Precast concrete elements and goods,qm,C4,,,,,,
e7d4ceb7-da5f-4341-b8f3-ea47bd1fb4bc,00.04.000,Concrete paving stone 8 cm multi-coloured,Mineral building products' / 'Bricks. blocks and elements' / 'Precast concrete elements and goods,qm,D,,,,,,
631208e7-40e1-466a-9fd0-1dd8f9311745,00.03.000,Vinyl wallcoverings on non-woven backing,Coverings' / 'Interior covering' / 'Wall and ceiling covering,qm,A1-A3,,,,,,
631208e7-40e1-466a-9fd0-1dd8f9311745,00.03.000,Vinyl wallcoverings on non-woven backing,Coverings' / 'Interior covering' / 'Wall and ceiling covering,qm,A4,,,,,,
631208e7-40e1-466a-9fd0-1dd8f9311745,00.03.000,Vinyl wallcoverings on non-woven backing,Coverings' / 'Interior covering' / 'Wall and ceiling covering,qm,A5,,,,,,
631208e7-40e1-466a-9fd0-1dd8f9311745,00.03.000,Vinyl wallcoverings on non-woven backing,Coverings' / 'Interior covering' / 'Wall and ceiling covering,qm,C1,,,,,,
631208e7-40e1-466a-9fd0-1dd8f9311745,00.03.000,Vinyl wallcoverings on non-woven backing,Coverings' / 'Interior covering' / 'Wall and ceiling covering,qm,C2,,,,,,
631208e7-40e1-466a-9fd0-1dd8f9311745,00.03.000,Vinyl wallcoverings on non-woven backing,Coverings' / 'Interior covering' / 'Wall and ceiling covering,qm,C3,,,,,,
631208e7-40e1-466a-9fd0-1dd8f9311745,00.03.000,Vinyl wallcoverings on non-woven backing,Coverings' / 'Interior covering' / 'Wall and ceiling covering,qm,C4,,,,,,
631208e7-40e1-466a-9fd0-1dd8f9311745,00.03.000,Vinyl wallcoverings on non-woven backing,Coverings' / 'Interior covering' / 'Wall and ceiling covering,qm,D,,,,,,
e0141b25-f5ce-480d-b902-493cde18835a,00.02.000,best wood CLT,Wood' / 'Derived timber products' / 'Plywood,m3,A1-A3,,,,,,
e0141b25-f5ce-480d-b902-493cde18835a,00.02.000,best wood CLT,Wood' / 'Derived timber products' / 'Plywood,m3,A4,,,,,,
e0141b25-f5ce-480d-b902-493cde18835a,00.02.000,best wood CLT,Wood' / 'Derived timber products' / 'Plywood,m3,A5,,,,,,
e0141b25-f5ce-480d-b902-493cde18835a,00.02.000,best wood CLT,Wood' / 'Derived timber products' / 'Plywood,m3,B1,,,,,,
e0141b25-f5ce-480d-b902-493cde18835a,00.02.000,best wood CLT,Wood' / 'Derived timber products' / 'Plywood,m3,B2,,,,,,
e0141b25-f5ce-480d-b902-493cde18835a,00.02.000,best wood CLT,Wood' / 'Derived timber products' / 'Plywood,m3,C1,,,,,,
e0141b25-f5ce-480d-b902-493cde18835a,00.02.000,best wood CLT,Wood' / 'Derived timber products' / 'Plywood,m3,C2,,,,,,
e0141b25-f5ce-480d-b902-493cde18835a,00.02.000,best wood CLT,Wood' / 'Derived timber products' / 'Plywood,m3,C3,,,,,,
e0141b25-f5ce-480d-b902-493cde18835a,00.02.000,best wood CLT,Wood' / 'Derived timber products' / 'Plywood,m3,C4,,,,,,
e0141b25-f5ce-480d-b902-493cde18835a,00.02.000,best wood CLT,Wood' / 'Derived timber products' / 'Plywood,m3,D,,,,,,
324c94f7-569f-44d8-af8a-d3c4f314273b,00.06.000,Concrete paving stone 8 cm anthracite,Mineral building products' / 'Bricks. blocks and elements' / 'Precast concrete elements and goods,qm,A1-A3,,,,,,
324c94f7-569f-44d8-af8a-d3c4f314273b,00.06.000,Concrete paving stone 8 cm anthracite,Mineral building products' / 'Bricks. blocks and elements' / 'Precast concrete elements and goods,qm,C1,,,,,,
324c94f7-569f-44d8-af8a-d3c4f314273b,00.06.000,Concrete paving stone 8 cm anthracite,Mineral building products' / 'Bricks. blocks and elements' / 'Precast concrete elements and goods,qm,C2,,,,,,
324c94f7-569f-44d8-af8a-d3c4f314273b,00.06.000,Concrete paving stone 8 cm anthracite,Mineral building products' / 'Bricks. blocks and elements' / 'Precast concrete elements and goods,qm,C3,,,,,,
324c94f7-569f-44d8-af8a-d3c4f314273b,00.06.000,Concrete paving stone 8 cm anthracite,Mineral building products' / 'Bricks. blocks and elements' / 'Precast concrete elements and goods,qm,C4,,,,,,
324c94f7-569f-44d8-af8a-d3c4f314273b,00.06.000,Concrete paving stone 8 cm anthracite,Mineral building products' / 'Bricks. blocks and elements' / 'Precast concrete elements and goods,qm,D,,,,,,
2ccc8b8a-ea55-4383-9d22-689543ae0cd1,00.04.000,best wood FIBRE,Insulation materials' / 'Wood fibre' / 'Wood fibre and wood chips. loose,kg,A1-A3,,,,,,
2ccc8b8a-ea55-4383-9d22-689543ae0cd1,00.04.000,best wood FIBRE,Insulation materials' / 'Wood fibre' / 'Wood fibre and wood chips. loose,kg,A4,,,,,,
2ccc8b8a-ea55-4383-9d22-689543ae0cd1,00.04.000,best wood FIBRE,Insulation materials' / 'Wood fibre' / 'Wood fibre and wood chips. loose,kg,A5,,,,,,
2ccc8b8a-ea55-4383-9d22-689543ae0cd1,00.04.000,best wood FIBRE,Insulation materials' / 'Wood fibre' / 'Wood fibre and wood chips. loose,kg,B1,,,,,,
2ccc8b8a-ea55-4383-9d22-689543ae0cd1,00.04.000,best wood FIBRE,Insulation materials' / 'Wood fibre' / 'Wood fibre and wood chips. loose,kg,B2,,,,,,
2ccc8b8a-ea55-4383-9d22-689543ae0cd1,00.04.000,best wood FIBRE,Insulation materials' / 'Wood fibre' / 'Wood fibre and wood chips. loose,kg,B3,,,,,,
2ccc8b8a-ea55-4383-9d22-689543ae0cd1,00.04.000,best wood FIBRE,Insulation materials' / 'Wood fibre' / 'Wood fibre and wood chips. loose,kg,B4,,,,,,
2ccc8b8a-ea55-4383-9d22-689543ae0cd1,00.04.000,best wood FIBRE,Insulation materials' / 'Wood fibre' / 'Wood fibre and wood chips. loose,kg,B5,,,,,,
2ccc8b8a-ea55-4383-9d22-689543ae0cd1,00.04.000,best wood FIBRE,Insulation materials' / 'Wood fibre' / 'Wood fibre and wood chips. loose,kg,B6,,,,,,
2ccc8b8a-ea55-4383-9d22-689543ae0cd1,00.04.000,best wood FIBRE,Insulation materials' / 'Wood fibre' / 'Wood fibre and wood chips. loose,kg,B7,,,,,,
2ccc8b8a-ea55-4383-9d22-689543ae0cd1,00.04.000,best wood FIBRE,Insulation materials' / 'Wood fibre' / 'Wood fibre and wood chips. loose,kg,C1,,,,,,
2ccc8b8a-ea55-4383-9d22-689543ae0cd1,00.04.000,best wood FIBRE,Insulation materials' / 'Wood fibre' / 'Wood fibre and wood chips. loose,kg,C2,,,,,,
2ccc8b8a-ea55-4383-9d22-689543ae0cd1,00.04.000,best wood FIBRE,Insulation materials' / 'Wood fibre' / 'Wood fibre and wood chips. loose,kg,C3,,,,,,
2ccc8b8a-ea55-4383-9d22-689543ae0cd1,00.04.000,best wood FIBRE,Insulation materials' / 'Wood fibre' / 'Wood fibre and wood chips. loose,kg,C4,,,,,,
2ccc8b8a-ea55-4383-9d22-689543ae0cd1,00.04.000,best wood FIBRE,Insulation materials' / 'Wood fibre' / 'Wood fibre and wood chips. loose,kg,D,,,,,,
ed4ba86d-f803-4cfe-b345-7f507a1e84f6,00.01.000,Blastfurnace cement CEM III/A 42.5 N (na),Mineral building products' / 'Binder' / 'Cement,kg,A1-A3,,,,,,
6b75bee7-b123-423e-acff-1cf446864415,00.02.000,Galvanized Structural Steel,Metals' / 'Steel and iron' / 'Structural steel profile,kg,A1-A3,,,,,,
6b75bee7-b123-423e-acff-1cf446864415,00.02.000,Galvanized Structural Steel,Metals' / 'Steel and iron' / 'Structural steel profile,kg,A4,,,,,,
